0x57c,0xfff,0xfff,0x104,0x100,0x100,0x100,0x100,0x100
0x12f,0x3a0,0x340,0x1a7,0x40,0x40,0x40,0x40,0x100
0x60,0x513,0x4d6,0x27b,0x60,0x60,0x60,0x60,0x100
0x80,0x80,0x34f,0x61f,0x80,0x80,0x80,0x80,0x100
0xa0,0xa0,0x418,0x7a7,0xa0,0xa0,0xa0,0xa0,0x100
0xc0,0xc0,0xc0,0xbff,0x227,0xc0,0xc0,0xc0,0x100
0xe0,0xe0,0xe0,0xdff,0xc5b,0xe0,0xe0,0xe0,0x100
0x100,0x100,0x100,0x447,0xe1d,0x175,0x100,0x100,0x100
0x40,0x40,0x40,0x40,0x40,0x40,0x40,0x40,0x100
0x60,0x60,0x60,0x60,0x60,0x60,0x60,0x60,0x100
0x80,0x80,0x80,0x80,0x80,0x80,0x80,0x80,0x100
0xa0,0xa0,0xa0,0xa0,0xa0,0xa0,0xa0,0xa0,0x100
0xc0,0xc0,0xc0,0xc0,0xc0,0xc0,0xc0,0xc0,0x100
0xe0,0xe0,0xe0,0xe0,0xe0,0xe0,0xe0,0xe0,0x100
